file,category,parent_session_id,session_title,size_bytes,jsonl_lines,api_calls,total_tokens,cost_usd,first_ts_utc,last_ts_utc
~/.claude/projects/-Users-ericwang/1ee7e9a2-02e3-4dbc-88dc-b44ddbf062aa.jsonl,main-session,1ee7e9a2-02e3-4dbc-88dc-b44ddbf062aa,,173100,77,19,909054,1.6,2026-05-15T19:47:00.572Z,2026-05-15T19:51:08.741Z
~/.claude/projects/-Users-ericwang/20047edc-88eb-444b-9d70-bd451255c997.jsonl,main-session,20047edc-88eb-444b-9d70-bd451255c997,AI Agent Suite ReDesign,42228771,28,2,99903,0.69,2026-05-27T21:49:20.544Z,2026-05-27T21:49:30.734Z
~/.claude/projects/-Users-ericwang/20e802e5-17bf-49d6-bd47-259973726d4d.jsonl,main-session,20e802e5-17bf-49d6-bd47-259973726d4d,,22192,14,1,37692,0.39,2026-05-15T22:41:11.406Z,2026-05-15T22:41:11.406Z
~/.claude/projects/-Users-ericwang/23b1d96f-28e7-4d39-94ad-1c9c8ae77a98.jsonl,main-session,23b1d96f-28e7-4d39-94ad-1c9c8ae77a98,,54823,39,5,196476,0.58,2026-06-07T00:52:48.847Z,2026-06-07T01:26:35.790Z
~/.claude/projects/-Users-ericwang/245ffadd-7d67-4793-b18e-66715e32340b.jsonl,main-session,245ffadd-7d67-4793-b18e-66715e32340b,drug test,4507773,732,116,31742025,31.68,2026-05-18T15:34:58.655Z,2026-05-18T21:31:02.257Z
~/.claude/projects/-Users-ericwang/245ffadd-7d67-4793-b18e-66715e32340b/subagents/agent-a3af84ebbc41cf855.jsonl,subagent,245ffadd-7d67-4793-b18e-66715e32340b,drug test,6779055,23,2,72228,0.35,2026-05-18T16:42:48.524Z,2026-05-18T16:43:21.061Z
~/.claude/projects/-Users-ericwang/245ffadd-7d67-4793-b18e-66715e32340b/subagents/agent-ac2911072ad52e285.jsonl,subagent,245ffadd-7d67-4793-b18e-66715e32340b,drug test,36979,21,2,50969,0.22,2026-05-18T15:48:39.632Z,2026-05-18T15:49:18.926Z
~/.claude/projects/-Users-ericwang/245ffadd-7d67-4793-b18e-66715e32340b/subagents/agent-ac456d7c19f57ea2e.jsonl,subagent,245ffadd-7d67-4793-b18e-66715e32340b,drug test,77514,42,13,468545,0.51,2026-05-18T15:51:42.926Z,2026-05-18T15:54:36.558Z
~/.claude/projects/-Users-ericwang/2b361dee-7a63-4bc4-ac33-f7d314014315.jsonl,main-session,2b361dee-7a63-4bc4-ac33-f7d314014315,boson chatbot,1654644,625,123,17115701,18.07,2026-05-18T14:11:41.921Z,2026-05-18T22:44:00.525Z
~/.claude/projects/-Users-ericwang/2be765bd-c936-4feb-8aaa-1d61fd3f2ae8.jsonl,main-session,2be765bd-c936-4feb-8aaa-1d61fd3f2ae8,boson chatbot,210379,113,26,1509886,2.07,2026-05-20T14:40:40.197Z,2026-05-20T14:47:43.708Z
~/.claude/projects/-Users-ericwang/2c86e03a-4a5c-4463-9f09-3a6c8e766d7e.jsonl,main-session,2c86e03a-4a5c-4463-9f09-3a6c8e766d7e,,3418241,678,122,29381339,32.04,2026-05-14T19:55:28.588Z,2026-05-18T02:46:24.691Z
~/.claude/projects/-Users-ericwang/2c86e03a-4a5c-4463-9f09-3a6c8e766d7e/subagents/agent-a98b675783843283b.jsonl,subagent,2c86e03a-4a5c-4463-9f09-3a6c8e766d7e,,69438,15,4,141418,0.37,2026-05-14T19:56:28.507Z,2026-05-14T19:57:27.840Z
~/.claude/projects/-Users-ericwang/2c86e03a-4a5c-4463-9f09-3a6c8e766d7e/subagents/agent-ac200d05453e3f51e.jsonl,subagent,2c86e03a-4a5c-4463-9f09-3a6c8e766d7e,,67039,14,4,120768,0.4,2026-05-14T19:56:16.309Z,2026-05-14T19:57:10.415Z
~/.claude/projects/-Users-ericwang/2c86e03a-4a5c-4463-9f09-3a6c8e766d7e/subagents/agent-afc89f7fa16b3b8b6.jsonl,subagent,2c86e03a-4a5c-4463-9f09-3a6c8e766d7e,,127689,16,5,202423,0.54,2026-05-14T19:56:39.459Z,2026-05-14T19:57:48.912Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a.jsonl,main-session,2ff14248-6175-4a29-969d-6930d84cd24a,,2908118,740,112,20253822,40.87,2026-05-06T21:49:57.538Z,2026-05-11T21:33:22.607Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a0619f4b561142123.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,40589,23,5,116197,0.25,2026-05-11T20:58:04.613Z,2026-05-11T20:58:51.983Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a0ce5f0c5f8f6ef93.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,24531,14,4,86276,0.18,2026-05-11T20:57:57.817Z,2026-05-11T20:58:22.531Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a13ad5a0670ff9b0b.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,47935,26,4,80123,0.17,2026-05-09T23:50:31.908Z,2026-05-09T23:51:52.247Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a177771d2e684cdab.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,275633,163,15,495433,0.75,2026-05-09T23:50:19.705Z,2026-05-09T23:54:11.387Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a17cdcc5b4b560cc4.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,96556,67,8,187565,0.33,2026-05-09T23:50:11.945Z,2026-05-09T23:52:20.047Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a19bd09dc844a2a2a.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,79034,50,7,166326,0.31,2026-05-09T23:50:36.264Z,2026-05-09T23:52:27.287Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a1d4a959ab6fcb303.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,28238,16,4,87840,0.21,2026-05-11T20:57:37.446Z,2026-05-11T20:58:07.150Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a1f975be20b4e817e.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,17891,9,3,54460,0.13,2026-05-09T23:50:15.128Z,2026-05-09T23:50:52.332Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a2f2547f6efe4511b.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,46476,28,5,117687,0.25,2026-05-11T20:57:31.109Z,2026-05-11T20:58:10.500Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a3ab4cb560d5cadf6.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,90827,54,11,312660,0.42,2026-05-11T20:57:34.541Z,2026-05-11T20:59:10.202Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a68191b6ad173673b.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,224939,94,12,522084,0.8,2026-05-09T22:51:06.404Z,2026-05-09T22:54:49.380Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a6ed99b6a6e0f8f3f.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,43088,27,5,115197,0.21,2026-05-11T20:57:40.467Z,2026-05-11T20:58:20.676Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a7b5241bb24e99376.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,43757,25,5,117748,0.26,2026-05-11T20:57:42.727Z,2026-05-11T20:59:06.776Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a821da07d863c7408.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,36763,15,5,102887,0.27,2026-05-09T23:50:07.478Z,2026-05-09T23:51:40.501Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a846ec7fb1d538660.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,119216,70,9,277989,0.43,2026-05-11T20:57:27.794Z,2026-05-11T20:58:58.023Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a9100b7a73b6fa93a.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,285545,167,13,551893,0.94,2026-05-09T23:33:05.434Z,2026-05-09T23:47:49.084Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a9641b647ca0affaa.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,284607,125,16,824234,1.18,2026-05-09T22:50:29.642Z,2026-05-09T22:54:57.124Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a96706c814ad2b63d.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,42841,25,4,92429,0.23,2026-05-11T20:57:48.813Z,2026-05-11T20:58:22.178Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-a9ff8e61aefed385c.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,32078,18,4,89905,0.22,2026-05-11T20:58:01.240Z,2026-05-11T20:58:33.041Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-aa81a00f109cf4aa5.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,170523,70,10,378810,0.54,2026-05-09T22:51:56.303Z,2026-05-09T22:54:53.126Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-aa81c403708a8b706.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,249967,118,16,775001,0.98,2026-05-09T23:33:26.427Z,2026-05-09T23:37:12.718Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-aac1f92568b67310e.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,71546,39,6,157441,0.33,2026-05-11T20:57:52.164Z,2026-05-11T20:58:57.162Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-abada2f51880826db.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,53959,30,6,146501,0.28,2026-05-11T20:57:46.257Z,2026-05-11T20:58:29.761Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-abc3ca52542d52f43.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,116685,66,10,280252,0.46,2026-05-09T23:50:25.457Z,2026-05-09T23:52:51.342Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-ac42fd69f9e81fb1f.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,78923,55,24,560653,0.54,2026-05-09T23:50:46.903Z,2026-05-09T23:53:12.968Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-ac534e72db551d8be.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,165428,76,10,366529,0.63,2026-05-09T22:50:48.359Z,2026-05-09T22:54:10.840Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-ac89d785c2d81714b.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,178153,79,11,416662,0.7,2026-05-09T22:51:38.806Z,2026-05-09T22:55:01.425Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-ae05c1329c10475d0.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,66095,36,7,160363,0.29,2026-05-09T23:50:40.603Z,2026-05-09T23:52:03.736Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-ae6a417037b00ad8d.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,104887,73,7,184504,0.5,2026-05-09T23:50:01.065Z,2026-05-09T23:52:13.598Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-ae777a9e033258756.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,59905,36,7,174464,0.29,2026-05-11T20:57:25.100Z,2026-05-11T20:58:20.160Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-aed6285298eb3baa8.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,46827,26,6,142255,0.39,2026-05-11T20:57:22.498Z,2026-05-11T20:58:15.911Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-aed8c3a10435fa2f7.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,147614,82,10,280526,0.76,2026-05-09T23:50:04.082Z,2026-05-09T23:52:55.461Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-afb7250c9df449915.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,45060,26,5,117964,0.25,2026-05-11T20:57:54.658Z,2026-05-11T20:58:40.072Z
~/.claude/projects/-Users-ericwang/2ff14248-6175-4a29-969d-6930d84cd24a/subagents/agent-afbb30f2ec609e046.jsonl,subagent,2ff14248-6175-4a29-969d-6930d84cd24a,,112252,48,7,201263,0.34,2026-05-09T22:51:22.822Z,2026-05-09T22:53:41.753Z
~/.claude/projects/-Users-ericwang/3e73b5ee-193a-40ea-9129-0a492541f516.jsonl,main-session,3e73b5ee-193a-40ea-9129-0a492541f516,,1954,5,0,0,0.0,,
~/.claude/projects/-Users-ericwang/413e9119-7f9c-463b-bd61-e17e3fe2333b.jsonl,main-session,413e9119-7f9c-463b-bd61-e17e3fe2333b,,69688,33,6,242948,0.98,2026-05-18T13:57:31.911Z,2026-05-18T14:00:23.094Z
~/.claude/projects/-Users-ericwang/419eec2f-4e0b-4c0f-8492-8cd3082fe035.jsonl,main-session,419eec2f-4e0b-4c0f-8492-8cd3082fe035,,317921,153,22,1073357,1.94,2026-06-01T22:31:18.536Z,2026-06-01T22:51:30.890Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f.jsonl,main-session,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,12333916,2406,327,130660863,158.06,2026-05-27T22:37:37.564Z,2026-06-09T23:13:44.175Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-a0b640707e9f3b887.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,169262,64,24,1380354,1.5,2026-05-28T19:42:46.705Z,2026-05-28T19:45:18.184Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-a0dfc7d299fed9c53.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,120099,45,16,735387,0.69,2026-05-28T19:44:56.982Z,2026-05-28T19:46:38.666Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-a161b5bd243530169.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,411712,144,45,5325280,4.38,2026-05-28T20:16:22.680Z,2026-05-28T20:24:26.023Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-a1b8448b8bc4743e4.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,643606,176,67,7299367,5.27,2026-05-28T19:44:27.767Z,2026-05-28T19:53:19.277Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-a24fd2f564052f3ad.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,423553,124,42,4958284,4.08,2026-05-28T19:43:26.324Z,2026-05-28T19:53:25.633Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-a5ea9d370e5ad0883.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,405407,133,51,5274027,5.0,2026-05-28T18:52:02.172Z,2026-05-28T19:26:19.792Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-a797c23f74637b0cb.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,452651,157,61,6504025,5.84,2026-05-28T18:52:22.741Z,2026-05-28T19:25:46.565Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-a815bae89e2a42ba9.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,333301,98,31,2741172,3.39,2026-05-28T18:53:32.590Z,2026-05-28T19:26:38.020Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-a886607e739ef709c.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,338308,89,34,2954985,3.56,2026-05-28T18:52:45.527Z,2026-05-28T19:25:56.854Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-aad900164c79b46e2.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,145182,66,26,1201823,1.28,2026-05-28T19:43:53.011Z,2026-05-28T19:46:15.689Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/agent-ad912270852460728.jsonl,subagent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,391538,137,55,5505513,5.15,2026-05-28T18:53:08.619Z,2026-05-28T19:26:24.375Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/workflows/wf_0d8c6218-13a/agent-a1a80cf9bd8dfc128.jsonl,workflow-agent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,3154037,270,67,9634874,7.55,2026-06-05T23:17:52.982Z,2026-06-05T23:28:05.131Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/workflows/wf_0d8c6218-13a/agent-a3fa845b02c04493a.jsonl,workflow-agent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,327228,119,34,2960728,2.13,2026-06-05T23:11:35.625Z,2026-06-05T23:17:12.644Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/workflows/wf_0d8c6218-13a/agent-abdc8242711d5e61a.jsonl,workflow-agent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,998307,185,66,19213987,11.76,2026-06-05T22:58:25.240Z,2026-06-05T23:11:33.310Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/workflows/wf_0d8c6218-13a/agent-ae2d5d02001fe9f1b.jsonl,workflow-agent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,378070,150,42,3893884,3.75,2026-06-05T23:11:35.742Z,2026-06-05T23:17:51.309Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/workflows/wf_0d8c6218-13a/agent-ae972d2cd950f18e9.jsonl,workflow-agent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,313284,113,34,2866080,2.68,2026-06-05T23:11:35.679Z,2026-06-05T23:16:55.589Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/workflows/wf_0d8c6218-13a/agent-af678741c7bda0ac0.jsonl,workflow-agent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,872518,102,28,7793967,5.74,2026-06-05T23:11:35.678Z,2026-06-05T23:17:35.723Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/workflows/wf_0d8c6218-13a/journal.jsonl,workflow-agent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,31742,12,0,0,0.0,,
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/workflows/wf_0f8e6fb5-4e4/agent-a129823264cd36425.jsonl,workflow-agent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,792711,16,4,950708,2.24,2026-06-05T22:44:33.565Z,2026-06-05T22:49:33.246Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/workflows/wf_0f8e6fb5-4e4/agent-a3f1aed1373e1109c.jsonl,workflow-agent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,85340,22,5,150337,0.44,2026-06-05T22:41:04.239Z,2026-06-05T22:44:21.740Z
~/.claude/projects/-Users-ericwang/45438a64-a66d-4e16-aa17-4c6be947aa5f/subagents/workflows/wf_0f8e6fb5-4e4/agent-a6233690637ddb38a.jsonl,workflow-agent,45438a64-a66d-4e16-aa17-4c6be947aa5f,AI Agent Suite ReDesign,51542,15,4,105820,0.38,2026-06-05T22:41:04.269Z,2026-06-05T22:42:56.369Z
